C—digo,Clave,Descripci—n,Caja,Master,Unidad,C—gido EAN,Precio Publico con iVA,Precio Publico sin iVA,Precio Mayoreo con IVA,Precio Mayoreo sin IVA,Precio Subdistribuidor con IVA,Precio Subdistribuidor sin IVA,Precio Distribuidor con IVA,Precio Distribuidor sin IVA,Marca,Codigo SAT,Descripcion SAT
10669,ABT-389,"Disco para desbaste de acero inoxidable, tipo 27, 7'",5,30,Pieza,7506240621416,127,109.48,109,93.97,97,83.62,85,73.28,Truper,31191506,Discos abrasivos
11549,ABT-390,"Disco corte metal, tipo42, diámetro 4-1/2', alto rendimiento",5,30,Pieza,7501206674116,23,19.83,20,17.24,17.5,15.09,15,12.93,Truper,31191506,Discos abrasivos
11566,ABT-418,"Disco para corte de piedra, tipo 42, diámetro 7'",5,30,Pieza,7501206674079,58,50,50,43.1,45,38.79,39,33.62,Truper,31191506,Discos abrasivos
11557,ABT-419,"Disco para corte de piedra, tipo 42, diámetro 9'",5,30,Pieza,7501206674062,99,85.34,87,75,77,66.38,67,57.76,Truper,31191506,Discos abrasivos
11561,ABT-496,"Disco para corte de metal, tipo 41, diámetro 7'",5,30,Pieza,7501206674024,52,44.83,46,39.66,40,34.48,35,30.17,Truper,31191506,Discos abrasivos
10662,ABT-500,"Disco para corte de metal, tipo 41, diámetro 9'",5,30,Pieza,7506240621461,73,62.93,63,54.31,56,48.28,49,42.24,Truper,31191506,Discos abrasivos
12569,ABT-556,"Disco para corte de metal, tipo 42, diámetro 4-1/2'",5,30,Pieza,7501206622247,22,18.97,18.5,15.95,16.5,14.22,14,12.07,Truper,31191506,Discos abrasivos
12568,ABT-739,"Disco para corte de metal, tipo 41, diámetro 14'",5,30,Pieza,7501206622230,82,70.69,72,62.07,63,54.31,55,47.41,Truper,31191506,Discos abrasivos
11567,ABT-742,"Disco para corte de metal, tipo 41, diámetro 14'",5,30,Pieza,7501206674048,115,99.14,97,83.62,86,74.14,75,64.66,Truper,31191506,Discos abrasivos
11636,ABT-752,"Disco para corte acero inoxidable, tipo 42, diámetro 4-1/2'",5,30,Pieza,7506240610052,38,32.76,33,28.45,29,25,25,21.55,Truper,31191506,Discos abrasivos
11555,ABT-754,"Disco para corte de piedra, tipo 42, diámetro 4-1/2'",5,30,Pieza,7501206674086,23,19.83,20,17.24,17.5,15.09,15,12.93,Truper,31191506,Discos abrasivos
22561,ABT-758P,"Disco corte metal, Tipo 41, 14' , usos generales, Pretul",5,30,Pieza,7506240623885,67,57.76,58,50,52,44.83,45,38.79,Pretul,31191506,Discos abrasivos
12565,ABT-774,"Disco para desbaste de metal, tipo 27, diámetro 4-1/2'",5,30,Pieza,7501206622216,33,28.45,29,25,25,21.55,22,18.97,Truper,31191506,Discos abrasivos
